SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
NSE:KESORAMIND-EQ,Kesoram Industries Limited,BE,06-SEP-1995,10,1,INE087A01019,10
NSE:KEYFINSERV-EQ,Keynote Financial Services Limited,EQ,26-JUN-1996,10,1,INE681C01015,10
NSE:KFINTECH-EQ,Kfin Technologies Limited,EQ,29-DEC-2022,10,1,INE138Y01010,10
NSE:KHADIM-EQ,Khadim India Limited,EQ,14-NOV-2017,10,1,INE834I01025,10
NSE:KHAICHEM-EQ,Khaitan Chemicals & Fertilizers Limited,BE,30-OCT-2020,1,1,INE745B01028,1
NSE:KHAITANLTD-EQ,Khaitan (India) Limited,BE,20-DEC-1995,10,1,INE731C01018,10
NSE:KHANDSE-EQ,Khandwala Securities Limited,EQ,07-FEB-2001,10,1,INE060B01014,10
NSE:KICL-EQ,Kalyani Investment Company Limited,EQ,14-JAN-2011,10,1,INE029L01018,10
NSE:KILITCH-EQ,Kilitch Drugs (India) Limited,BE,29-SEP-2010,10,1,INE729D01010,10
NSE:KIMS-EQ,Krishna Institute of Medical Sciences Limited,EQ,28-JUN-2021,2,1,INE967H01025,2
NSE:KINGFA-EQ,Kingfa Science & Technology (India) Limited,EQ,15-NOV-2016,10,1,INE473D01015,10
NSE:KIOCL-EQ,KIOCL Limited,EQ,29-NOV-2016,10,1,INE880L01014,10
NSE:KIRIINDUS-EQ,Kiri Industries Limited,EQ,22-APR-2008,10,1,INE415I01015,10
NSE:KIRLOSBROS-EQ,Kirloskar Brothers Limited,EQ,20-APR-2010,2,1,INE732A01036,2
NSE:KIRLOSENG-EQ,Kirloskar Oil Engines Limited,EQ,24-DEC-2010,2,1,INE146L01010,2
NSE:KIRLOSIND-EQ,Kirloskar Industries Limited,EQ,24-JUN-2010,10,1,INE250A01039,10
NSE:KIRLPNU-EQ,Kirloskar Pneumatic Company Limited,EQ,26-APR-2023,2,1,INE811A01020,2
NSE:KITEX-EQ,Kitex Garments Limited,EQ,25-SEP-2012,1,1,INE602G01020,1
NSE:KKCL-EQ,Kewal Kiran Clothing Limited,EQ,13-APR-2006,10,1,INE401H01017,10
NSE:KMEW-EQ,Knowledge Marine & Engineering Works Limited,EQ,14-NOV-2024,10,1,INE0CJD01011,10
NSE:KMSUGAR-EQ,K.M.Sugar Mills Limited,EQ,31-MAY-2007,2,1,INE157H01023,2
NSE:KNRCON-EQ,KNR Constructions Limited,EQ,18-FEB-2008,2,1,INE634I01029,2
NSE:KOHINOOR-EQ,Kohinoor Foods Limited,EQ,20-OCT-1999,10,1,INE080B01012,10
NSE:KOKUYOCMLN-EQ,Kokuyo Camlin Limited,EQ,28-JUL-2008,1,1,INE760A01029,1
NSE:KOLTEPATIL-EQ,Kolte - Patil Developers Limited,EQ,13-DEC-2007,10,1,INE094I01018,10
NSE:KOPRAN-EQ,Kopran Limited,EQ,09-JUN-1999,10,1,INE082A01010,10
NSE:KOTAKBANK-EQ,Kotak Mahindra Bank Limited,EQ,20-DEC-1995,5,1,INE237A01028,5
NSE:KOTARISUG-EQ,Kothari Sugars And Chemicals Limited,EQ,13-DEC-2004,10,1,INE419A01022,10
NSE:KOTHARIPET-EQ,Kothari Petrochemicals Limited,EQ,02-NOV-1996,10,1,INE720A01015,10
NSE:KOTHARIPRO-EQ,Kothari Products Limited,EQ,03-JUN-1998,10,1,INE823A01017,10
NSE:KPEL-EQ,K.P. Energy Limited,EQ,14-NOV-2024,5,1,INE127T01021,5
NSE:KPIGREEN-EQ,KPI Green Energy Limited,EQ,27-JUL-2021,5,1,INE542W01025,5
NSE:KPIL-EQ,Kalpataru Projects International Limited,EQ,15-DEC-2000,2,1,INE220B01022,2
NSE:KPITTECH-EQ,KPIT Technologies Limited,EQ,22-APR-2019,10,1,INE04I401011,10
NSE:KPRMILL-EQ,K.P.R. Mill Limited,EQ,28-AUG-2007,1,1,INE930H01031,1
NSE:KRBL-EQ,KRBL Limited,EQ,21-JAN-2002,1,1,INE001B01026,1
NSE:KREBSBIO-EQ,Krebs Biochemicals and Industries Limited,BE,03-JAN-1996,10,1,INE268B01013,10
NSE:KRIDHANINF-EQ,Kridhan Infra Limited,BE,11-DEC-2015,2,1,INE524L01026,2
NSE:KRISHANA-EQ,Krishana Phoschem Limited,EQ,22-AUG-2019,10,1,INE506W01012,10
NSE:KRISHIVAL-EQ,Krishival Foods Limited,BE,20-JUN-2025,10,1,INE0GGO01015,10
NSE:KRITI-EQ,Kriti Industries (India) Limited,BE,01-NOV-2021,1,1,INE479D01038,1
NSE:KRITIKA-EQ,Kritika Wires Limited,EQ,04-MAY-2022,2,1,INE00Z501029,2
NSE:KRITINUT-EQ,Kriti Nutrients Limited,EQ,07-OCT-2022,1,1,INE798K01010,1
NSE:KRN-EQ,KRN Heat Exchanger and Refrigeration Limited,EQ,03-OCT-2024,10,1,INE0Q3J01015,10
NSE:KRONOX-EQ,Kronox Lab Sciences Limited,EQ,10-JUN-2024,10,1,INE0ATZ01017,10
NSE:KROSS-EQ,Kross Limited,EQ,16-SEP-2024,5,1,INE0O6601022,5
NSE:KRSNAA-EQ,Krsnaa Diagnostics Limited,EQ,16-AUG-2021,5,1,INE08LI01020,5
NSE:KRYSTAL-EQ,Krystal Integrated Services Limited,BE,21-MAR-2024,10,1,INE0QN801017,10
NSE:KSB-EQ,Ksb Limited,EQ,08-FEB-1995,2,1,INE999A01023,2
NSE:KSCL-EQ,Kaveri Seed Company Limited,EQ,04-OCT-2007,2,1,INE455I01029,2
NSE:KSHITIJPOL-EQ,Kshitij Polyline Limited,EQ,27-JUL-2022,2,1,INE013801027,2
NSE:KSL-EQ,Kalyani Steels Limited,EQ,19-MAY-2010,5,1,INE907A01026,5
NSE:KSOLVES-EQ,Ksolves India Limited,EQ,23-SEP-2022,5,1,INE0D6I01023,5
NSE:KTKBANK-EQ,The Karnataka Bank Limited,EQ,10-MAY-2000,10,1,INE614B01018,10
NSE:KUANTUM-EQ,Kuantum Papers Limited,EQ,23-OCT-2019,1,1,INE529I01021,1
NSE:LAGNAM-EQ,Lagnam Spintex Limited,EQ,30-SEP-2021,10,1,INE548Z01017,10
NSE:LAL-EQ,Lorenzini Apparels Limited,BE,10-APR-2023,1,1,INE740X01023,1
